"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Connecticut"	"09"	18	129973	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	57	692811	8.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Georgia"	"13"	18	340721	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	39	418476	9.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Indiana"	"18"	20	214364	9.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Kentucky"	"21"	19	147369	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Louisiana"	"22"	14	144409	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Maryland"	"24"	14	208729	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Massachusetts"	"25"	33	237990	13.9
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Michigan"	"26"	21	335374	6.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Minnesota"	"27"	16	183920	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Missouri"	"29"	11	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Nevada"	"32"	13	98694	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Jersey"	"34"	30	318638	9.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	58	661449	8.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"North Carolina"	"37"	20	334103	6.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	23	381400	6.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oklahoma"	"40"	12	117086	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	45	432743	10.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Tennessee"	"47"	20	218576	9.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	62	852194	7.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Virginia"	"51"	16	285256	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Washington"	"53"	20	233167	8.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Wisconsin"	"55"	18	198942	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Alabama"	"01"	13	156734	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arizona"	"04"	12	206923	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	103	1270027	8.1
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	23	173881	13.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Connecticut"	"09"	18	129973	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	57	692811	8.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	18	340721	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	39	418476	9.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Indiana"	"18"	20	214364	9.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Kentucky"	"21"	19	147369	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Louisiana"	"22"	14	144409	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Maryland"	"24"	14	208729	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Massachusetts"	"25"	33	237990	13.9
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Michigan"	"26"	21	335374	6.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Minnesota"	"27"	16	183920	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Missouri"	"29"	12	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Nevada"	"32"	13	98694	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New Jersey"	"34"	30	318638	9.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	58	661449	8.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"North Carolina"	"37"	20	334103	6.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Ohio"	"39"	23	381400	6.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Oklahoma"	"40"	12	117086	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	45	432743	10.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Tennessee"	"47"	20	218576	9.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	62	852194	7.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Virginia"	"51"	16	285256	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Washington"	"53"	20	233167	8.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Wisconsin"	"55"	18	198942	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	48	1270027	3.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Colorado"	"08"	11	173881	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	24	692811	3.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Minnesota"	"27"	11	183920	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	12	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oregon"	"41"	18	125324	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	11	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Utah"	"49"	10	75353	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	14	285256	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Washington"	"53"	19	233167	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Wisconsin"	"55"	27	198942	13.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	25	1270027	2.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	26	692811	3.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Minnesota"	"27"	10	183920	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	13	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	11	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Utah"	"49"	13	75353	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	17	285256	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Washington"	"53"	21	233167	9.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Wisconsin"	"55"	17	198942	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"California"	"06"	57	1270027	4.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Colorado"	"08"	16	173881	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Florida"	"12"	26	692811	3.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Georgia"	"13"	10	340721	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Minnesota"	"27"	12	183920	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Missouri"	"29"	14	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"North Carolina"	"37"	13	334103	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oregon"	"41"	20	125324	16.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Pennsylvania"	"42"	11	432743	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Texas"	"48"	14	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Utah"	"49"	13	75353	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Virginia"	"51"	21	285256	7.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Washington"	"53"	24	233167	10.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Wisconsin"	"55"	30	198942	15.1
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	12	1270027	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	13	692811	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"Oregon"	"41"	10	125324	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	10	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	21	692811	3.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	10	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"California"	"06"	18	1270027	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Florida"	"12"	22	692811	3.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Michigan"	"26"	11	335374	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"New York"	"36"	10	661449	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"North Carolina"	"37"	12	334103	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Oregon"	"41"	13	125324	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Texas"	"48"	16	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Wisconsin"	"55"	11	198942	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Alabama"	"01"	20	156734	12.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arizona"	"04"	24	206923	11.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arkansas"	"05"	14	93354	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	32	1270027	2.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Colorado"	"08"	19	173881	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	59	692811	8.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Georgia"	"13"	42	340721	12.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Illinois"	"17"	28	418476	6.7
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Indiana"	"18"	28	214364	13.1
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kansas"	"20"	16	87941	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kentucky"	"21"	26	147369	17.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Louisiana"	"22"	25	144409	17.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Massachusetts"	"25"	12	237990	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Michigan"	"26"	31	335374	9.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Mississippi"	"28"	11	91202	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	19	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Montana"	"30"	10	31659	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New Jersey"	"34"	10	318638	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New Mexico"	"35"	10	61268	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New York"	"36"	19	661449	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"North Carolina"	"37"	26	334103	7.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Ohio"	"39"	48	381400	12.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Pennsylvania"	"42"	54	432743	12.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"South Carolina"	"45"	25	158536	15.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Tennessee"	"47"	23	218576	10.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	82	852194	9.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of thorax, part unspecified"	"S21.9"	"Texas"	"48"	13	852194	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Alabama"	"01"	16	156734	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Arizona"	"04"	27	206923	13.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	20	1270027	1.6
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Colorado"	"08"	10	173881	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	74	692811	10.7
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Georgia"	"13"	30	340721	8.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Illinois"	"17"	18	418476	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Indiana"	"18"	16	214364	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Kentucky"	"21"	11	147369	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Louisiana"	"22"	13	144409	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Maryland"	"24"	14	208729	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Massachusetts"	"25"	11	237990	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Michigan"	"26"	25	335374	7.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	16	195689	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New Jersey"	"34"	10	318638	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New Mexico"	"35"	13	61268	Unreliable
